hog	genes
N1.HOG0015042	CG13919
N1.HOG0015043	unc-119
N1.HOG0015044	ubl
N1.HOG0015045	CG13751
N1.HOG0015046	robl
N1.HOG0015047	Vlet
N1.HOG0015048	CG6431
N1.HOG0015049	CG13578
N1.HOG0015050	CG15554
N1.HOG0015051	B9d1
N1.HOG0015052	CG11382
N1.HOG0015053	pon
N1.HOG0015054	CG31712
N1.HOG0015056	CG12344
N1.HOG0015057	CG34125
N1.HOG0015058	Scox
N1.HOG0015059	CG3191
N1.HOG0015060	frma
N1.HOG0015061	fz3
N1.HOG0015062	CG7407
N1.HOG0015063	CG14102
N1.HOG0015064	CG5866
N1.HOG0015065	CG14300
N1.HOG0015066	CG17732
N1.HOG0015067	CG31848
N1.HOG0015068	CG12984
N1.HOG0015069	CG4783
N1.HOG0015070	CG4480
N1.HOG0015071	CG17839
N1.HOG0015072	Ccdc56
N1.HOG0015073	Cpr67Fb
N1.HOG0015074	Gr64b
N1.HOG0015075	Coq4
N1.HOG0015076	tap
N1.HOG0015077	Cip4
N1.HOG0015078	Cht2
N1.HOG0015079	Pdp1
N1.HOG0015080	CG14174
N1.HOG0015081	CG14949
N1.HOG0015082	mRpL14
N1.HOG0015083	Zn72D
N1.HOG0015084	CG8543
N1.HOG0015085	CG15021
N1.HOG0015086	Apc2
N1.HOG0015087	miple2
N1.HOG0015088	Hsc20
N1.HOG0015089	CG4962
N1.HOG0015090	eyg
N1.HOG0015091	CG10479
N1.HOG0015093	Chd64
N1.HOG0015095	CG11583
N1.HOG0015097	CG10738
N1.HOG0015098	CG14565
N1.HOG0015099	CG14568
N1.HOG0015100	Cpr78E
N1.HOG0015101	ORMDL
N1.HOG0015102	rpr
N1.HOG0015103	hid
N1.HOG0015104	CG13699
N1.HOG0015105	CG7330
N1.HOG0015106	Sytbeta
N1.HOG0015107	sstn
N1.HOG0015108	mRpL24
N1.HOG0015109	CG12025
N1.HOG0015110	mthl14
N1.HOG0015111	CG14411
N1.HOG0015112	hec
N1.HOG0015113	apolpp
N1.HOG0015114	CG4238
N1.HOG0015115	c-cup
N1.HOG0015116	CG14627
N1.HOG0015117	CG14770
N1.HOG0015118	CG17778
N1.HOG0015119	Dh44-R2
N1.HOG0015120	CG30100
N1.HOG0015121	CG6414
N1.HOG0015124	Sf3b5
N1.HOG0015125	Actn
N1.HOG0015126	pod1
N1.HOG0015127	CG8568
N1.HOG0015128	CG18095
N1.HOG0015129	Obp19a
N1.HOG0015130	Atx2
N1.HOG0015131	CG34148
N1.HOG0015132	CG14301
N1.HOG0015133	Pxd
N1.HOG0015134	Vps37B
N1.HOG0015135	Ir100a
N1.HOG0015136	NK7.1
N1.HOG0015137	Cpr97Ea
N1.HOG0015139	CG10375
N1.HOG0015140	CG32631
N1.HOG0015142	Zip88E
N1.HOG0015143	hng2
N1.HOG0015144	dysf
N1.HOG0015145	CG11760
N1.HOG0015147	CG10621
N1.HOG0015148	CG31344
N1.HOG0015149	Rlb1
N1.HOG0015150	Xport-A
N1.HOG0015151	CG11626
N1.HOG0015152	fd59A
N1.HOG0015153	CG13532
N1.HOG0015154	unc-5
N1.HOG0015155	CG42540
N1.HOG0015156	Gug
N1.HOG0015157	Amnionless
N1.HOG0015158	brun
N1.HOG0015159	CG3277
N1.HOG0015165	SpdS
N1.HOG0015168	Tsf3
N1.HOG0015169	Dek
N1.HOG0015170	ND-MWFE
N1.HOG0015171	Tsp47F
N1.HOG0015172	mRpS28
N1.HOG0015173	Corin
N1.HOG0015174	CG30120
N1.HOG0015175	cnk
N1.HOG0015176	Ufc1
N1.HOG0015178	Listericin
N1.HOG0015180	CG5697
N1.HOG0015181	ppk17
N1.HOG0015182	ac
N1.HOG0015183	fj
N1.HOG0015184	hig
N1.HOG0015185	mRpL42
N1.HOG0015186	CG34217
N1.HOG0015187	Fkbp14
N1.HOG0015188	CG9003
N1.HOG0015189	Tbce
N1.HOG0015190	Crys
N1.HOG0015191	CG13689
N1.HOG0015192	CG13458
N1.HOG0015193	CG6931
N1.HOG0015196	CG9279
N1.HOG0015197	CG17032
N1.HOG0015198	Pitslre
N1.HOG0015199	CG14424
N1.HOG0015200	Syx4
N1.HOG0015201	CG14427
N1.HOG0015202	CG32187
N1.HOG0015203	a6
N1.HOG0015205	Pur-alpha
N1.HOG0015208	Hacd2
N1.HOG0015210	STUB1
N1.HOG0015211	SmB
N1.HOG0015212	Nipped-B
N1.HOG0015213	CG5790
N1.HOG0015215	mon2
N1.HOG0015216	l(2)37Bb
N1.HOG0015217	CG13390
N1.HOG0015218	CG4496
N1.HOG0015219	CG5096
N1.HOG0015220	CG44000
N1.HOG0015221	CG18641
N1.HOG0015222	Stim
N1.HOG0015223	CG7884
N1.HOG0015224	CG7990
N1.HOG0015225	CG33178
N1.HOG0015226	CG15765
N1.HOG0015227	Obp83cd
N1.HOG0015228	Osi19
N1.HOG0015229	loj
N1.HOG0015230	Cht7
N1.HOG0015231	mus312
N1.HOG0015232	CG3630
N1.HOG0015233	CG11151
N1.HOG0015234	Mesh1
N1.HOG0015235	CG14511
N1.HOG0015239	CG42727
N1.HOG0015240	CG42726
N1.HOG0015241	CG18731
N1.HOG0015242	ps
N1.HOG0015243	bigmax
N1.HOG0015245	CG15536
N1.HOG0015246	CG31279
N1.HOG0015247	COX7A
N1.HOG0015249	chm
N1.HOG0015250	mus201
N1.HOG0015252	Atg14
N1.HOG0015253	CG33098
N1.HOG0015254	CG9263
N1.HOG0015255	Grd
N1.HOG0015256	ss
N1.HOG0015257	phol
N1.HOG0015258	psd
N1.HOG0015259	CG13243
N1.HOG0015260	Ku80
N1.HOG0015261	CG40191
N1.HOG0015262	Cp38
N1.HOG0015263	Cp36
N1.HOG0015264	Ythdf
N1.HOG0015266	Nf-YA
N1.HOG0015267	CG10907
N1.HOG0015268	trbl
N1.HOG0015269	CG15211
N1.HOG0015270	fend
N1.HOG0015271	CG2812
N1.HOG0015272	Fas2
N1.HOG0015273	shf
N1.HOG0015274	CG1632
N1.HOG0015275	Ass
N1.HOG0015277	CG15203
N1.HOG0015278	CG15605
N1.HOG0015279	CG13018
N1.HOG0015280	Nach
N1.HOG0015282	otk2
N1.HOG0015284	wcy
N1.HOG0015285	CG15202
N1.HOG0015286	Lamtor5
N1.HOG0015287	ase
N1.HOG0015288	Hr83
N1.HOG0015290	Sdhaf3
N1.HOG0015291	SmydA-1
N1.HOG0015292	CG1662
N1.HOG0015293	CCHa2
N1.HOG0015294	CG14711
N1.HOG0015295	CG14131
N1.HOG0015298	CG14715
N1.HOG0015299	CG12498
N1.HOG0015300	Cp15
N1.HOG0015301	hoe2
N1.HOG0015302	Marcal1
N1.HOG0015303	CG18269
N1.HOG0015305	CG13700
N1.HOG0015306	CG13810
N1.HOG0015307	Kaz1-ORFB
N1.HOG0015308	CG12674
N1.HOG0015309	CG17477
N1.HOG0015311	CG14963
N1.HOG0015312	CG13933
N1.HOG0015313	RabX5
N1.HOG0015314	CG3288
N1.HOG0015315	CG5280
N1.HOG0015316	Naa60
N1.HOG0015317	CG1143
N1.HOG0015318	CG1246
N1.HOG0015319	CG12607
N1.HOG0015320	BORCS7
N1.HOG0015321	CG4597
N1.HOG0015322	CG10654
N1.HOG0015323	CNMa
N1.HOG0015324	CG16959
N1.HOG0015325	Spt20
N1.HOG0015326	CG13455
N1.HOG0015327	CG14570
N1.HOG0015328	CG14185
N1.HOG0015329	tey
N1.HOG0015330	CG10591
N1.HOG0015331	grim
N1.HOG0015332	CG7341
N1.HOG0015333	Septin1
N1.HOG0015338	hui
N1.HOG0015339	Polr1B
N1.HOG0015340	List
N1.HOG0015341	CG14671
N1.HOG0015342	CG4553
N1.HOG0015343	CG31871
N1.HOG0015344	CG31676
N1.HOG0015345	CG15927
N1.HOG0015346	kud
N1.HOG0015347	CG10589
N1.HOG0015348	CG14304
N1.HOG0015349	CG14253
N1.HOG0015350	amon
N1.HOG0015351	CG31323
N1.HOG0015352	CG18599
N1.HOG0015353	CG5948
N1.HOG0015354	CG6959
N1.HOG0015355	CG18268
N1.HOG0015357	CG8547
N1.HOG0015358	Phk-3
N1.HOG0015359	CG3408
N1.HOG0015360	Cyp40
N1.HOG0015362	insc
N1.HOG0015363	sktl
N1.HOG0015365	CG8740
N1.HOG0015366	CG44251
N1.HOG0015367	Cbp53E
N1.HOG0015368	CG43324
N1.HOG0015369	RpL12
N1.HOG0015370	Mvk
N1.HOG0015371	CG6126
N1.HOG0015372	CG8927
N1.HOG0015373	CG3916
N1.HOG0015374	CG15547
N1.HOG0015375	CG15546
N1.HOG0015376	CG4610
N1.HOG0015377	CG10343
N1.HOG0015378	Sesn
N1.HOG0015380	CG33680
N1.HOG0015382	Tbh
N1.HOG0015383	CG9919
N1.HOG0015384	RSG7
N1.HOG0015385	obst-A
N1.HOG0015386	Rip11
N1.HOG0015387	escl
N1.HOG0015388	Cpr76Bc
N1.HOG0015389	Papss
N1.HOG0015390	bou
N1.HOG0015391	amos
N1.HOG0015392	CG9981
N1.HOG0015393	ihog
N1.HOG0015394	Rchy1
N1.HOG0015395	SamDC
N1.HOG0015396	CG33995
N1.HOG0015397	Wnt6
N1.HOG0015398	CG10280
N1.HOG0015399	Osi18
N1.HOG0015400	CG34353
N1.HOG0015401	Burs
N1.HOG0015402	ssp6
N1.HOG0015403	CG3032
N1.HOG0015404	CG5835
N1.HOG0015405	CG13634
N1.HOG0015406	Npc2f
N1.HOG0015407	wts
N1.HOG0015409	CG42633
N1.HOG0015410	SmE
N1.HOG0015411	knrl
N1.HOG0015412	cpx
N1.HOG0015413	Srp14
N1.HOG0015414	CG13840
N1.HOG0015415	Tusp
N1.HOG0015416	SmD1
N1.HOG0015417	Gabat
N1.HOG0015418	CG8028
N1.HOG0015419	CG15535
N1.HOG0015420	CG34290
N1.HOG0015421	CG6356
N1.HOG0015422	COX7AL
N1.HOG0015423	Cyp4aa1
N1.HOG0015424	CG34386
N1.HOG0015425	CG30195
N1.HOG0015426	CG3106
N1.HOG0015427	Spase22-23
N1.HOG0015428	grk
N1.HOG0015429	mRpS30
N1.HOG0015430	CG15152
N1.HOG0015431	Ankrd49
N1.HOG0015433	CG17549
N1.HOG0015434	spag4
N1.HOG0015435	Shawl
N1.HOG0015436	CG10163
N1.HOG0015437	Pka-C3
N1.HOG0015438	CG14052
N1.HOG0015439	CG3735
N1.HOG0015440	DCP1
N1.HOG0015441	CG14445
N1.HOG0015445	UbcE2H
N1.HOG0015446	CG32564
N1.HOG0015448	nAChRalpha3
N1.HOG0015450	Smug
N1.HOG0015451	CG15611
N1.HOG0015452	Vps25
N1.HOG0015453	CG6329
N1.HOG0015454	CG2120
N1.HOG0015455	Karl
N1.HOG0015456	CG4617
N1.HOG0015457	CG15771
N1.HOG0015458	pico
N1.HOG0015459	Tango10
N1.HOG0015460	Sil1
N1.HOG0015461	CG5516
N1.HOG0015462	CG17219
N1.HOG0015463	CG7839
N1.HOG0015464	Atg5
N1.HOG0015465	hoka
N1.HOG0015466	CG11436
N1.HOG0015467	CG12723
N1.HOG0015468	CG30411
N1.HOG0015469	CG2816
N1.HOG0015470	CG6115
N1.HOG0015471	CG32040
N1.HOG0015472	CG14044
N1.HOG0015473	CG11912
N1.HOG0015474	l(1)G0469
N1.HOG0015475	CG13004
N1.HOG0015476	CG15572
N1.HOG0015477	CG16772
N1.HOG0015478	CG32440
N1.HOG0015479	Cyp316a1
N1.HOG0015480	CG5623
N1.HOG0015481	CG15199
N1.HOG0015482	CG12239
N1.HOG0015483	CG11977
N1.HOG0015484	CG43691
N1.HOG0015485	Mob2
N1.HOG0015486	CG14110
N1.HOG0015487	prc
N1.HOG0015488	Ak1
N1.HOG0015489	Gr61a
N1.HOG0015490	Atac1
N1.HOG0015491	RpL23A
N1.HOG0015492	CG14984
N1.HOG0015494	CG18178
N1.HOG0015497	Grx5
N1.HOG0015498	Zip102B
N1.HOG0015499	nocte
N1.HOG0015500	s-cup
N1.HOG0015501	CG12730
N1.HOG0015502	SecS
N1.HOG0015503	CG7378
N1.HOG0015504	scw
N1.HOG0015505	CG34398
N1.HOG0015506	CG13258
N1.HOG0015507	fiz
N1.HOG0015508	CG33159
N1.HOG0015509	CG5412
N1.HOG0015510	Gr93a
N1.HOG0015511	mura
N1.HOG0015512	CG42812
N1.HOG0015513	Nmdmc
N1.HOG0015514	Rad1
N1.HOG0015515	CG14607
N1.HOG0015516	CG17816
N1.HOG0015517	CG3517
N1.HOG0015518	Mettl4
N1.HOG0015519	CG10324
N1.HOG0015521	CG13339
N1.HOG0015522	CG6280
N1.HOG0015523	SmydA-7
N1.HOG0015524	Shc
N1.HOG0015525	CG8531
N1.HOG0015526	CG16717
N1.HOG0015527	BBS9
N1.HOG0015528	enok
N1.HOG0015529	L
N1.HOG0015530	CG5327
N1.HOG0015531	nemy
N1.HOG0015532	ASPP
N1.HOG0015533	CG42380
N1.HOG0015534	dpr15
N1.HOG0015535	CG14739
N1.HOG0015536	CG32576
N1.HOG0015537	nrv3
N1.HOG0015538	CG30376
N1.HOG0015539	CG30423
N1.HOG0015541	CG7453
N1.HOG0015543	Pp2C1
N1.HOG0015544	NANS
N1.HOG0015545	CG3598
N1.HOG0015546	CG12991
N1.HOG0015547	CG2712
N1.HOG0015548	eas
N1.HOG0015549	CG34183
N1.HOG0015550	CG13113
N1.HOG0015551	ath
N1.HOG0015556	CG15482
N1.HOG0015557	Snx27
N1.HOG0015558	CG1738
N1.HOG0015559	Obp99d
N1.HOG0015560	CG13627
N1.HOG0015561	CG8360
N1.HOG0015562	Ntmt
N1.HOG0015563	CG14868
N1.HOG0015564	CG7031
N1.HOG0015565	CG17786
N1.HOG0015566	CG17325
N1.HOG0015567	Rph
N1.HOG0015568	CG11085
N1.HOG0015569	or
N1.HOG0015572	Gld2
N1.HOG0015573	CG13407
N1.HOG0015574	CG32536
N1.HOG0015576	Rhp
N1.HOG0015577	Spf45
N1.HOG0015578	CG17490
N1.HOG0015580	Arp8
N1.HOG0015581	SMC5
N1.HOG0015582	TfAP-2
N1.HOG0015585	CG32112
N1.HOG0015591	upd3
N1.HOG0015592	CG2256
N1.HOG0015593	CG7715
N1.HOG0015594	CG1218
N1.HOG0015595	CG13344
N1.HOG0015597	Grip163
N1.HOG0015598	inaF-C
N1.HOG0015599	CG43901
N1.HOG0015600	Klf15
N1.HOG0015601	Dhdds
N1.HOG0015602	CG9101
N1.HOG0015603	CG42560
N1.HOG0015604	Ctns
N1.HOG0015605	CG43127
N1.HOG0015606	Xport-B
N1.HOG0015607	CG32277
N1.HOG0015608	CG7215
N1.HOG0015609	CG11997
N1.HOG0015610	CG7548
N1.HOG0015611	CG10623
N1.HOG0015612	CG13065
N1.HOG0015613	CG15258
N1.HOG0015614	CG12316
N1.HOG0015615	CG4218
N1.HOG0015616	CG40198
N1.HOG0015617	Rbf2
N1.HOG0015618	CG14247
N1.HOG0015619	CG32053
N1.HOG0015620	CG13443
N1.HOG0015621	Trm7-34
N1.HOG0015622	ttm3
N1.HOG0015623	CG13217
N1.HOG0015624	CG32391
N1.HOG0015625	GILT2
N1.HOG0015626	CG15530
N1.HOG0015627	Spc25
N1.HOG0015628	CG42525
N1.HOG0015629	dlt
N1.HOG0015630	CG44195
N1.HOG0015631	mRpL17
N1.HOG0015632	Eip63F-1
N1.HOG0015633	CG14829
N1.HOG0015634	Ras64B
N1.HOG0015635	CG14564
N1.HOG0015637	l(3)04053
N1.HOG0015639	Zyx
N1.HOG0015640	CG4038
N1.HOG0015641	CG1909
N1.HOG0015642	Pgls
N1.HOG0015643	Nepl10
N1.HOG0015644	Tk
N1.HOG0015645	CG15370
N1.HOG0015648	Nepl9
N1.HOG0015649	CG9839
N1.HOG0015650	CG14598
N1.HOG0015651	Or85d
N1.HOG0015652	CG34316
N1.HOG0015653	CG6621
N1.HOG0015654	mei-W68
N1.HOG0015655	Or92a
N1.HOG0015656	CG13331
N1.HOG0015657	Yeti
N1.HOG0015658	Sox15
N1.HOG0015659	CG12012
N1.HOG0015660	Sk1
N1.HOG0015661	CG11555
N1.HOG0015662	CG13949
N1.HOG0015663	GCS2beta
N1.HOG0015664	otp
N1.HOG0015665	CG2906
N1.HOG0015666	Wnt5
N1.HOG0015667	Obp47b
N1.HOG0015668	CG9117
N1.HOG0015669	CG33127
N1.HOG0015670	CG30380
N1.HOG0015673	LRP1
N1.HOG0015675	CG3632
N1.HOG0015676	Pa1
N1.HOG0015677	BCL7-like
N1.HOG0015679	CG4291
N1.HOG0015680	CG1504
N1.HOG0015681	vkg
N1.HOG0015684	Mvd
N1.HOG0015688	CG13362
N1.HOG0015689	NPFR
N1.HOG0015690	CG15247
N1.HOG0015691	snky
N1.HOG0015692	CG14687
N1.HOG0015693	mRpL37
N1.HOG0015694	CG30010
N1.HOG0015696	PPP1R15
N1.HOG0015697	mr
N1.HOG0015698	Sox14
N1.HOG0015699	dpr13
N1.HOG0015700	CG15673
N1.HOG0015701	CG14903
N1.HOG0015702	CCDC53
N1.HOG0015704	CG18577
N1.HOG0015705	CG7173
N1.HOG0015706	CapaR
N1.HOG0015707	DNAlig1
N1.HOG0015708	CG4653
N1.HOG0015709	CG12995
N1.HOG0015710	prel
N1.HOG0015711	Amun
N1.HOG0015712	CG4660
N1.HOG0015713	CG9240
N1.HOG0015714	CG34029
N1.HOG0015715	sc
N1.HOG0015716	CG32647
N1.HOG0015717	CG14274
N1.HOG0015718	Cpr92A
N1.HOG0015719	CG15390
N1.HOG0015720	Tsp42Ec
N1.HOG0015721	CG4269
N1.HOG0015722	CG15570
N1.HOG0015723	CG2021
N1.HOG0015724	CG11906
N1.HOG0015725	Nep1
N1.HOG0015726	Srxn
N1.HOG0015727	CG34176
N1.HOG0015728	Cyp4ad1
N1.HOG0015729	CG14326
N1.HOG0015730	CG15534
N1.HOG0015731	CG3124
N1.HOG0015732	CG6044
N1.HOG0015733	CG14629
N1.HOG0015734	CG12219
N1.HOG0015735	Traf-like
N1.HOG0015736	CG9483
N1.HOG0015737	CG14932
N1.HOG0015738	CG43134
N1.HOG0015739	CG13423
N1.HOG0015740	BomT1
N1.HOG0015741	jv
N1.HOG0015742	GluRS-m
N1.HOG0015743	CG13033
N1.HOG0015744	CG14958
N1.HOG0015745	CG32537
N1.HOG0015746	CG10581
N1.HOG0015747	CG42245
N1.HOG0015748	CG13048
N1.HOG0015749	CG13062
N1.HOG0015750	Nplp3
N1.HOG0015751	hdm
N1.HOG0015752	Ilp4
N1.HOG0015753	CG1674
N1.HOG0015754	CG32006
N1.HOG0015755	CG11380
N1.HOG0015756	CG30095
N1.HOG0015757	CG2962
N1.HOG0015758	meng
N1.HOG0015759	Lmpt
N1.HOG0015760	mRpL50
N1.HOG0015761	CG31076
N1.HOG0015762	Non3
N1.HOG0015763	CG3982
N1.HOG0015764	CG13023
N1.HOG0015765	CG32069
N1.HOG0015766	Obp84a
N1.HOG0015767	Elk
N1.HOG0015768	CG34203
N1.HOG0015769	CG7573
N1.HOG0015770	CG42379
N1.HOG0015771	CG13622
N1.HOG0015772	CCHa1
N1.HOG0015773	CG13101
N1.HOG0015774	CG33506
N1.HOG0015775	CG12911
N1.HOG0015776	CG46319
N1.HOG0015777	Ir54a
N1.HOG0015778	CG4953
N1.HOG0015779	CG4627
N1.HOG0015780	CG34195
N1.HOG0015781	CG15365
N1.HOG0015782	AnxB10
N1.HOG0015783	CG32147
N1.HOG0015784	CG9782
N1.HOG0015785	CG12481
N1.HOG0015786	Cpr31A
N1.HOG0015787	Ir31a
N1.HOG0015788	CG7384
N1.HOG0015789	Ypel
N1.HOG0015790	Sclp
N1.HOG0015791	CG1468
N1.HOG0015792	CG15249
N1.HOG0015793	CG2321
N1.HOG0015794	CG34296
N1.HOG0015795	CG4586
N1.HOG0015796	CG13358
N1.HOG0015797	Pex11ab
N1.HOG0015798	CG41520
N1.HOG0015799	CG43386
N1.HOG0015800	CG7276
N1.HOG0015801	CG31437
N1.HOG0015803	alpha-Cat
N1.HOG0015804	EMC10
N1.HOG0015806	Vago
N1.HOG0015808	CG5928
N1.HOG0015809	beat-IIIc
N1.HOG0015810	CG13931
N1.HOG0015811	CG34228
N1.HOG0015812	Dbp80
N1.HOG0015813	CG17777
N1.HOG0015814	Ance-4
N1.HOG0015815	CG32846
N1.HOG0015816	CG13012
N1.HOG0015817	CG13014
N1.HOG0015818	CG10300
N1.HOG0015819	CG14537
N1.HOG0015820	CG7914
N1.HOG0015821	CG13742
N1.HOG0015822	OdsH
N1.HOG0015823	CSN1a
N1.HOG0015824	CG9269
N1.HOG0015825	CG32221
N1.HOG0015827	CG10164
N1.HOG0015828	Hf
N1.HOG0015829	Obp56b
N1.HOG0015830	Mur29B
N1.HOG0015831	CG9837
N1.HOG0015832	CG15549
N1.HOG0015833	CG31778
N1.HOG0015834	wuc
N1.HOG0015835	CG2652
N1.HOG0015836	CG11327
N1.HOG0015837	CG42365
N1.HOG0015838	CG13640
N1.HOG0015840	Pdf
N1.HOG0015841	CG34247
N1.HOG0015842	CG18675
N1.HOG0015843	Cpr64Ac
N1.HOG0015844	CG42374
N1.HOG0015845	NfI
N1.HOG0015846	CG7512
N1.HOG0015847	Dyrk3
N1.HOG0015850	CG10165
N1.HOG0015851	CG14401
N1.HOG0015852	CG32061
N1.HOG0015853	CG6118
N1.HOG0015854	CG31460
N1.HOG0015855	CG13847
N1.HOG0015856	TwdlT
N1.HOG0015857	Idgf4
N1.HOG0015858	PIG-P
N1.HOG0015859	CG9593
N1.HOG0015860	CG42306
N1.HOG0015861	Dark
N1.HOG0015862	nSyb
N1.HOG0015863	Paf-AHalpha
N1.HOG0015864	ox
N1.HOG0015865	CG1360
N1.HOG0015866	Obp59a
N1.HOG0015867	CG3748
N1.HOG0015868	CG3163
N1.HOG0015869	Cpr49Ad
N1.HOG0015870	ZAP3
N1.HOG0015871	CG13996
N1.HOG0015872	Plc21C
N1.HOG0015873	CG4409
N1.HOG0015874	CG6398
N1.HOG0015875	CG5906
N1.HOG0015876	CG14418
N1.HOG0015877	CG12531
N1.HOG0015878	Sirt6
N1.HOG0015879	CG5022
N1.HOG0015880	CG31800
N1.HOG0015881	Hmgcl
N1.HOG0015882	CG11752
N1.HOG0015883	CG3323
N1.HOG0015884	CG14515
N1.HOG0015885	Desi
N1.HOG0015886	Nepl11
N1.HOG0015887	CG45122
N1.HOG0015888	CG17258
N1.HOG0015889	CG42305
N1.HOG0015890	shps
N1.HOG0015891	CG12379
N1.HOG0015892	CG31777
N1.HOG0015893	CG5577
N1.HOG0015894	CG9147
N1.HOG0015895	CG3651
N1.HOG0015896	sphe
N1.HOG0015897	Lsm10
N1.HOG0015898	CG15142
N1.HOG0015899	Gr59f
N1.HOG0015900	Ir85a
N1.HOG0015901	CG13247
N1.HOG0015902	qvr
N1.HOG0015903	CG17167
N1.HOG0015904	CG14495
N1.HOG0015905	CG30379
N1.HOG0015906	TTLL1A
N1.HOG0015907	fs(1)K10
N1.HOG0015908	zen
N1.HOG0015909	CG14926
N1.HOG0015910	VhaAC39-2
N1.HOG0015911	CG14369
N1.HOG0015912	BomBc3
N1.HOG0015913	CG3457
N1.HOG0015914	CG14323
N1.HOG0015915	CG11816
N1.HOG0015916	GluRIIB
N1.HOG0015917	CG14631
N1.HOG0015918	CG14573
N1.HOG0015919	CG4229
N1.HOG0015920	CG43169
N1.HOG0015921	CG33493
N1.HOG0015922	CG32241
N1.HOG0015923	miple1
N1.HOG0015924	CG13545
N1.HOG0015925	CG15449
N1.HOG0015926	CG15760
N1.HOG0015927	mRpL44
N1.HOG0015928	slx1
N1.HOG0015929	CG8578
N1.HOG0015930	CG3119
N1.HOG0015932	fipi
N1.HOG0015933	kibra
N1.HOG0015934	Pstk
N1.HOG0015935	Dph4
N1.HOG0015936	Polr2F
N1.HOG0015937	Sdb
N1.HOG0015939	jing
N1.HOG0015940	CG14483
N1.HOG0015941	fog
N1.HOG0015942	PIG-X
N1.HOG0015943	Blos3
N1.HOG0015944	FRG1
N1.HOG0015945	Gr77a
N1.HOG0015946	CG8916
N1.HOG0015947	myo
N1.HOG0015948	CG5188
N1.HOG0015949	CG34367
N1.HOG0015950	Tfb5
N1.HOG0015951	RhoGAP16F
N1.HOG0015952	CG6340
N1.HOG0015953	CG11333
N1.HOG0015954	CG11755
N1.HOG0015955	CG6785
N1.HOG0015957	Nepl14
N1.HOG0015958	hrm
N1.HOG0015959	CG31371
N1.HOG0015960	ghi
N1.HOG0015961	a10
N1.HOG0015962	CG46309
N1.HOG0015963	Cp7Fc
N1.HOG0015964	Stoml2
N1.HOG0015965	dy
N1.HOG0015966	inaF-B
N1.HOG0015967	CG13707
N1.HOG0015968	CG30467
N1.HOG0015969	CG33986
N1.HOG0015970	CG5500
N1.HOG0015971	CG17776
N1.HOG0015972	yellow-e3
N1.HOG0015973	CG13170
N1.HOG0015974	CG15127
N1.HOG0015975	CG13786
N1.HOG0015976	CG32551
N1.HOG0015984	CG16956
N1.HOG0015985	Reg-2
N1.HOG0015986	CG15528
N1.HOG0015987	OS9
N1.HOG0015988	CG13117
N1.HOG0015989	CG13488
N1.HOG0015990	CG14072
N1.HOG0015991	CG13227
N1.HOG0015992	cona
N1.HOG0015993	CG13457
N1.HOG0015994	CG30383
N1.HOG0015995	mRpL36
N1.HOG0015996	CG13731
N1.HOG0015997	CG13047
N1.HOG0015998	ver
N1.HOG0016001	Eph
N1.HOG0016002	NimB1
N1.HOG0016003	l(3)neo43
N1.HOG0016004	CG30161
N1.HOG0016005	CG34231
N1.HOG0016006	CG11192
N1.HOG0016007	SmF
N1.HOG0016008	tctn
N1.HOG0016009	B9d2
N1.HOG0016010	CG8072
N1.HOG0016011	Gbeta13F
N1.HOG0016012	CG34141
N1.HOG0016013	CG4377
N1.HOG0016014	tun
N1.HOG0016015	Nipsnap
N1.HOG0016016	Mdh1
N1.HOG0016017	CG32532
N1.HOG0016018	CG8861
N1.HOG0016019	CG14431
N1.HOG0016020	Eh
N1.HOG0016021	Adgf-A2
N1.HOG0016022	CG13982
N1.HOG0016023	CG5359
N1.HOG0016024	CG10973
N1.HOG0016025	CG5339
N1.HOG0016026	CG9170
N1.HOG0016027	spidey
N1.HOG0016028	Gbp1
N1.HOG0016029	CG3108
N1.HOG0016030	CG13404
N1.HOG0016031	CG4942
N1.HOG0016032	Scsalpha2
N1.HOG0016033	Ir68b
N1.HOG0016034	Muc55B
N1.HOG0016035	CG15705
N1.HOG0016036	CG32302
N1.HOG0016037	CG2611
N1.HOG0016038	CG15047
N1.HOG0016039	CG31525
N1.HOG0016040	CG17648
N1.HOG0016041	CG34456
N1.HOG0016042	a5
N1.HOG0016043	GstT3
N1.HOG0016044	CG42455
N1.HOG0016045	CG34221
N1.HOG0016046	CG34005
N1.HOG0016048	mRpL33
N1.HOG0016049	CG13306
N1.HOG0016051	CG12017
N1.HOG0016052	Fbp2
N1.HOG0016053	CG15005
N1.HOG0016054	CG34253
N1.HOG0016055	CG42376
N1.HOG0016056	CG44433
N1.HOG0016057	dos
N1.HOG0016058	CG32099
N1.HOG0016059	Alas
N1.HOG0016061	CG7968
N1.HOG0016062	Ptip
N1.HOG0016063	CG17145
N1.HOG0016064	CG30094
N1.HOG0016065	PIG-H
N1.HOG0016066	CG32767
N1.HOG0016067	Reepl1
N1.HOG0016068	CG17768
N1.HOG0016069	Wnt10
N1.HOG0016070	CG34331
N1.HOG0016071	CG9686
N1.HOG0016073	CG31142
N1.HOG0016074	CG18788
N1.HOG0016075	CG16865
N1.HOG0016076	CG5421
N1.HOG0016077	beta3GalTII
N1.HOG0016078	CG7509
N1.HOG0016079	COX8
N1.HOG0016080	CG5039
N1.HOG0016082	CG42264
N1.HOG0016083	CG15312
N1.HOG0016084	CG6696
N1.HOG0016085	CG44243
